['airport-london-205-6223.mp4', 'indoor']
['metro_station-barcelona-229-6917.mp4', 'indoor']
['metro_station-barcelona-229-6918.mp4', 'indoor']
['metro_station-barcelona-230-6919.mp4', 'indoor']
['metro_station-barcelona-230-6920.mp4', 'indoor']
['metro_station-barcelona-230-6921.mp4', 'indoor']
['metro_station-barcelona-230-6922.mp4', 'indoor']
['metro_station-barcelona-230-6923.mp4', 'indoor']
['metro_station-barcelona-230-6924.mp4', 'indoor']
['metro_station-barcelona-230-6925.mp4', 'indoor']
['metro_station-barcelona-230-6926.mp4', 'indoor']
['metro_station-barcelona-230-6927.mp4', 'indoor']
['metro_station-barcelona-230-6928.mp4', 'indoor']
['metro_station-barcelona-230-6929.mp4', 'indoor']
['metro_station-barcelona-230-6930.mp4', 'indoor']
['metro_station-barcelona-230-6931.mp4', 'indoor']
['metro_station-barcelona-230-6932.mp4', 'indoor']
['metro_station-barcelona-230-6933.mp4', 'indoor']
['metro_station-barcelona-230-6934.mp4', 'indoor']
['metro_station-barcelona-230-6935.mp4', 'indoor']
['metro_station-barcelona-230-6936.mp4', 'indoor']
['metro_station-barcelona-230-6937.mp4', 'indoor']
['metro_station-barcelona-230-6938.mp4', 'indoor']
['metro_station-barcelona-230-6939.mp4', 'indoor']
['metro_station-barcelona-230-6940.mp4', 'indoor']
['metro_station-barcelona-230-6941.mp4', 'indoor']
['metro_station-barcelona-230-6942.mp4', 'indoor']
['metro_station-barcelona-230-6943.mp4', 'indoor']
['metro_station-barcelona-230-6944.mp4', 'indoor']
['metro_station-barcelona-230-6945.mp4', 'indoor']
['metro_station-barcelona-230-6946.mp4', 'indoor']
['metro_station-barcelona-230-6947.mp4', 'indoor']
['metro_station-helsinki-231-6948.mp4', 'indoor']
['metro_station-helsinki-231-6949.mp4', 'indoor']
['metro_station-helsinki-231-6950.mp4', 'indoor']
['metro_station-helsinki-231-6951.mp4', 'indoor']
['metro_station-helsinki-231-6952.mp4', 'indoor']
['metro_station-helsinki-231-6953.mp4', 'indoor']
['metro_station-helsinki-231-6954.mp4', 'indoor']
['metro_station-helsinki-231-6955.mp4', 'indoor']
['metro_station-helsinki-231-6956.mp4', 'indoor']
['metro_station-helsinki-231-6957.mp4', 'indoor']
['metro_station-helsinki-231-6958.mp4', 'indoor']
['metro_station-helsinki-231-6959.mp4', 'indoor']
['metro_station-helsinki-232-6960.mp4', 'indoor']
['metro_station-helsinki-232-6961.mp4', 'indoor']
['metro_station-helsinki-232-6962.mp4', 'indoor']
['metro_station-helsinki-232-6963.mp4', 'indoor']
['metro_station-helsinki-232-6964.mp4', 'indoor']
['metro_station-helsinki-232-6965.mp4', 'indoor']
['metro_station-helsinki-232-6966.mp4', 'indoor']
['metro_station-helsinki-232-6967.mp4', 'indoor']
['metro_station-helsinki-232-6968.mp4', 'indoor']
['metro_station-helsinki-232-6969.mp4', 'indoor']
['metro_station-helsinki-232-6970.mp4', 'indoor']
['metro_station-helsinki-232-6971.mp4', 'indoor']
['metro_station-helsinki-232-6972.mp4', 'indoor']
['metro_station-helsinki-232-6973.mp4', 'indoor']
['metro_station-helsinki-232-6974.mp4', 'indoor']
['metro_station-helsinki-232-6975.mp4', 'indoor']
['metro_station-helsinki-232-6976.mp4', 'indoor']
['metro_station-helsinki-232-6977.mp4', 'indoor']
['metro_station-helsinki-232-6978.mp4', 'indoor']
['metro_station-helsinki-232-6979.mp4', 'indoor']
['metro_station-helsinki-232-6980.mp4', 'indoor']
['metro_station-helsinki-232-6981.mp4', 'indoor']
['metro_station-helsinki-232-6982.mp4', 'indoor']
['metro_station-helsinki-232-6983.mp4', 'indoor']
['metro_station-helsinki-232-6984.mp4', 'indoor']
['metro_station-helsinki-232-6985.mp4', 'indoor']
['metro_station-helsinki-232-6986.mp4', 'indoor']
['metro_station-helsinki-232-6987.mp4', 'indoor']
['metro_station-helsinki-232-6988.mp4', 'indoor']
['metro_station-london-233-6989.mp4', 'indoor']
['metro_station-london-233-6990.mp4', 'indoor']
['metro_station-london-233-6991.mp4', 'indoor']
['metro_station-london-233-6992.mp4', 'indoor']
['metro_station-london-233-6993.mp4', 'indoor']
['metro_station-london-233-6994.mp4', 'indoor']
['metro_station-london-233-6995.mp4', 'indoor']
['metro_station-london-233-6996.mp4', 'indoor']
['metro_station-london-233-6997.mp4', 'indoor']
['metro_station-london-233-6998.mp4', 'indoor']
['metro_station-london-233-6999.mp4', 'indoor']
['metro_station-london-233-7000.mp4', 'indoor']
['metro_station-london-234-7001.mp4', 'indoor']
['metro_station-london-234-7002.mp4', 'indoor']
['metro_station-london-234-7003.mp4', 'indoor']
['metro_station-london-234-7004.mp4', 'indoor']
['metro_station-london-234-7005.mp4', 'indoor']
['metro_station-london-234-7006.mp4', 'indoor']
['metro_station-london-234-7007.mp4', 'indoor']
['metro_station-london-234-7008.mp4', 'indoor']
['metro_station-london-234-7009.mp4', 'indoor']
['metro_station-london-234-7010.mp4', 'indoor']
['metro_station-london-234-7011.mp4', 'indoor']
['metro_station-london-234-7012.mp4', 'indoor']
['metro_station-london-235-7013.mp4', 'indoor']
['metro_station-london-235-7014.mp4', 'indoor']
['metro_station-london-235-7015.mp4', 'indoor']
['metro_station-london-235-7016.mp4', 'indoor']
['metro_station-london-235-7017.mp4', 'indoor']
['metro_station-london-235-7018.mp4', 'indoor']
['metro_station-london-235-7019.mp4', 'indoor']
['metro_station-london-235-7020.mp4', 'indoor']
['metro_station-london-235-7021.mp4', 'indoor']
['metro_station-london-235-7022.mp4', 'indoor']
['metro_station-london-235-7023.mp4', 'indoor']
['metro_station-london-235-7024.mp4', 'indoor']
['metro_station-london-235-7025.mp4', 'indoor']
['metro_station-london-235-7026.mp4', 'indoor']
['metro_station-london-235-7027.mp4', 'indoor']
['metro_station-stockholm-239-7077.mp4', 'indoor']
['metro_station-stockholm-239-7078.mp4', 'indoor']
['metro_station-stockholm-239-7079.mp4', 'indoor']
['metro_station-stockholm-239-7080.mp4', 'indoor']
['metro_station-stockholm-239-7081.mp4', 'indoor']
['metro_station-stockholm-239-7082.mp4', 'indoor']
['metro_station-stockholm-239-7083.mp4', 'indoor']
['metro_station-stockholm-239-7084.mp4', 'indoor']
['metro_station-stockholm-239-7085.mp4', 'indoor']
['metro_station-stockholm-239-7086.mp4', 'indoor']
['metro_station-stockholm-239-7087.mp4', 'indoor']
['metro_station-stockholm-239-7088.mp4', 'indoor']
['metro_station-stockholm-239-7089.mp4', 'indoor']
['metro_station-stockholm-239-7090.mp4', 'indoor']
['metro_station-stockholm-239-7091.mp4', 'indoor']
['metro_station-stockholm-239-7092.mp4', 'indoor']
['metro_station-stockholm-239-7093.mp4', 'indoor']
['metro_station-stockholm-239-7094.mp4', 'indoor']
['metro_station-stockholm-239-7095.mp4', 'indoor']
['metro_station-stockholm-239-7096.mp4', 'indoor']
['metro_station-stockholm-239-7097.mp4', 'indoor']
['metro_station-stockholm-239-7098.mp4', 'indoor']
['metro_station-stockholm-239-7099.mp4', 'indoor']
['metro_station-stockholm-239-7100.mp4', 'indoor']
['metro_station-stockholm-239-7101.mp4', 'indoor']
['metro_station-stockholm-239-7102.mp4', 'indoor']
['metro_station-stockholm-239-7103.mp4', 'indoor']
['metro_station-stockholm-239-7104.mp4', 'indoor']
['metro_station-stockholm-239-7105.mp4', 'indoor']
['metro_station-stockholm-239-7106.mp4', 'indoor']
['metro_station-stockholm-239-7107.mp4', 'indoor']
['metro_station-stockholm-239-7108.mp4', 'indoor']
['metro_station-stockholm-239-7109.mp4', 'indoor']
['metro_station-stockholm-239-7110.mp4', 'indoor']
['metro_station-stockholm-239-7111.mp4', 'indoor']
['metro_station-stockholm-239-7112.mp4', 'indoor']
['metro_station-vienna-240-7113.mp4', 'indoor']
['metro_station-vienna-240-7114.mp4', 'indoor']
['metro_station-vienna-240-7115.mp4', 'indoor']
['metro_station-vienna-240-7116.mp4', 'indoor']
['metro_station-vienna-240-7117.mp4', 'indoor']
['metro_station-vienna-240-7118.mp4', 'indoor']
['metro_station-vienna-240-7119.mp4', 'indoor']
['metro_station-vienna-240-7120.mp4', 'indoor']
['metro_station-vienna-240-7121.mp4', 'indoor']
['metro_station-vienna-240-7122.mp4', 'indoor']
['metro_station-vienna-240-7123.mp4', 'indoor']
['metro_station-vienna-240-7124.mp4', 'indoor']
['metro_station-vienna-240-7125.mp4', 'indoor']
['metro_station-vienna-240-7126.mp4', 'indoor']
['metro_station-vienna-240-7127.mp4', 'indoor']
['metro_station-vienna-240-7128.mp4', 'indoor']
['metro_station-vienna-240-7129.mp4', 'indoor']
['metro_station-vienna-240-7130.mp4', 'indoor']
['metro_station-vienna-240-7131.mp4', 'indoor']
['metro_station-vienna-240-7132.mp4', 'indoor']
['metro_station-vienna-240-7133.mp4', 'indoor']
['metro_station-vienna-240-7134.mp4', 'indoor']
['metro_station-vienna-240-7135.mp4', 'indoor']
['metro_station-vienna-240-7136.mp4', 'indoor']
['metro_station-vienna-240-7137.mp4', 'indoor']
['metro_station-vienna-240-7138.mp4', 'indoor']
['metro_station-vienna-240-7139.mp4', 'indoor']
['metro_station-vienna-240-7140.mp4', 'indoor']
['metro_station-vienna-240-7141.mp4', 'indoor']
['metro_station-vienna-240-7142.mp4', 'indoor']
['metro_station-vienna-240-7143.mp4', 'indoor']
['metro_station-vienna-240-7144.mp4', 'indoor']
['metro_station-vienna-240-7145.mp4', 'indoor']
['metro_station-vienna-240-7146.mp4', 'indoor']
['metro_station-vienna-240-7147.mp4', 'indoor']
['metro_station-vienna-240-7148.mp4', 'indoor']
['shopping_mall-barcelona-254-7607.mp4', 'indoor']
['shopping_mall-barcelona-254-7608.mp4', 'indoor']
['shopping_mall-barcelona-254-7609.mp4', 'indoor']
['shopping_mall-barcelona-254-7610.mp4', 'indoor']
['shopping_mall-barcelona-254-7611.mp4', 'indoor']
['shopping_mall-barcelona-254-7612.mp4', 'indoor']
['shopping_mall-barcelona-254-7613.mp4', 'indoor']
['shopping_mall-barcelona-254-7614.mp4', 'indoor']
['shopping_mall-barcelona-254-7615.mp4', 'indoor']
['shopping_mall-barcelona-254-7616.mp4', 'indoor']
['shopping_mall-barcelona-254-7617.mp4', 'indoor']
['shopping_mall-barcelona-254-7618.mp4', 'indoor']
['shopping_mall-barcelona-254-7619.mp4', 'indoor']
['shopping_mall-barcelona-254-7620.mp4', 'indoor']
['shopping_mall-barcelona-254-7621.mp4', 'indoor']
['shopping_mall-barcelona-254-7622.mp4', 'indoor']
['shopping_mall-barcelona-254-7623.mp4', 'indoor']
['shopping_mall-barcelona-254-7624.mp4', 'indoor']
['shopping_mall-barcelona-254-7625.mp4', 'indoor']
['shopping_mall-barcelona-254-7626.mp4', 'indoor']
['shopping_mall-barcelona-254-7627.mp4', 'indoor']
['shopping_mall-barcelona-254-7628.mp4', 'indoor']
['shopping_mall-barcelona-254-7629.mp4', 'indoor']
['shopping_mall-barcelona-254-7630.mp4', 'indoor']
['shopping_mall-barcelona-254-7631.mp4', 'indoor']
['shopping_mall-barcelona-254-7632.mp4', 'indoor']
['shopping_mall-barcelona-254-7633.mp4', 'indoor']
['shopping_mall-barcelona-254-7634.mp4', 'indoor']
['shopping_mall-barcelona-254-7635.mp4', 'indoor']
['shopping_mall-barcelona-254-7636.mp4', 'indoor']
['shopping_mall-barcelona-254-7637.mp4', 'indoor']
['shopping_mall-barcelona-254-7638.mp4', 'indoor']
['shopping_mall-barcelona-254-7639.mp4', 'indoor']
['shopping_mall-barcelona-254-7640.mp4', 'indoor']
['shopping_mall-barcelona-254-7641.mp4', 'indoor']
['shopping_mall-barcelona-254-7642.mp4', 'indoor']
['shopping_mall-helsinki-255-7643.mp4', 'indoor']
['shopping_mall-helsinki-255-7644.mp4', 'indoor']
['shopping_mall-helsinki-255-7645.mp4', 'indoor']
['shopping_mall-helsinki-255-7646.mp4', 'indoor']
['shopping_mall-helsinki-255-7647.mp4', 'indoor']
['shopping_mall-helsinki-255-7648.mp4', 'indoor']
['shopping_mall-helsinki-255-7649.mp4', 'indoor']
['shopping_mall-helsinki-255-7650.mp4', 'indoor']
['shopping_mall-helsinki-255-7651.mp4', 'indoor']
['shopping_mall-helsinki-255-7652.mp4', 'indoor']
['shopping_mall-helsinki-255-7653.mp4', 'indoor']
['shopping_mall-helsinki-255-7654.mp4', 'indoor']
['shopping_mall-helsinki-255-7655.mp4', 'indoor']
['shopping_mall-helsinki-255-7656.mp4', 'indoor']
['shopping_mall-helsinki-255-7657.mp4', 'indoor']
['shopping_mall-helsinki-255-7658.mp4', 'indoor']
['shopping_mall-helsinki-255-7659.mp4', 'indoor']
['shopping_mall-helsinki-255-7660.mp4', 'indoor']
['shopping_mall-helsinki-255-7661.mp4', 'indoor']
['shopping_mall-helsinki-255-7662.mp4', 'indoor']
['shopping_mall-helsinki-255-7663.mp4', 'indoor']
['shopping_mall-helsinki-255-7664.mp4', 'indoor']
['shopping_mall-helsinki-255-7665.mp4', 'indoor']
['shopping_mall-helsinki-255-7666.mp4', 'indoor']
['shopping_mall-helsinki-255-7667.mp4', 'indoor']
['shopping_mall-helsinki-255-7668.mp4', 'indoor']
['shopping_mall-helsinki-255-7669.mp4', 'indoor']
['shopping_mall-helsinki-255-7670.mp4', 'indoor']
['shopping_mall-helsinki-255-7671.mp4', 'indoor']
['shopping_mall-helsinki-255-7672.mp4', 'indoor']
['shopping_mall-helsinki-255-7673.mp4', 'indoor']
['shopping_mall-helsinki-255-7674.mp4', 'indoor']
['shopping_mall-helsinki-255-7675.mp4', 'indoor']
['shopping_mall-helsinki-255-7676.mp4', 'indoor']
['shopping_mall-helsinki-255-7677.mp4', 'indoor']
['shopping_mall-helsinki-255-7678.mp4', 'indoor']
['shopping_mall-london-256-7679.mp4', 'indoor']
['shopping_mall-london-256-7680.mp4', 'indoor']
['shopping_mall-london-256-7681.mp4', 'indoor']
['shopping_mall-london-256-7682.mp4', 'indoor']
['shopping_mall-london-256-7683.mp4', 'indoor']
['shopping_mall-london-256-7684.mp4', 'indoor']
['shopping_mall-london-256-7685.mp4', 'indoor']
['shopping_mall-london-256-7686.mp4', 'indoor']
['shopping_mall-london-256-7687.mp4', 'indoor']
['shopping_mall-london-256-7688.mp4', 'indoor']
['shopping_mall-london-256-7690.mp4', 'indoor']
['shopping_mall-london-256-7691.mp4', 'indoor']
['shopping_mall-london-256-7692.mp4', 'indoor']
['shopping_mall-london-256-7693.mp4', 'indoor']
['shopping_mall-london-256-7694.mp4', 'indoor']
['shopping_mall-london-256-7696.mp4', 'indoor']
['shopping_mall-london-256-7697.mp4', 'indoor']
['shopping_mall-london-256-7698.mp4', 'indoor']
['shopping_mall-london-256-7699.mp4', 'indoor']
['shopping_mall-london-256-7702.mp4', 'indoor']
['shopping_mall-london-256-7703.mp4', 'indoor']
['shopping_mall-london-256-7704.mp4', 'indoor']
['shopping_mall-london-256-7705.mp4', 'indoor']
['shopping_mall-london-256-7706.mp4', 'indoor']
['shopping_mall-london-256-7707.mp4', 'indoor']
['shopping_mall-london-256-7708.mp4', 'indoor']
['shopping_mall-london-256-7710.mp4', 'indoor']
['shopping_mall-london-256-7711.mp4', 'indoor']
['shopping_mall-london-256-7712.mp4', 'indoor']
['shopping_mall-london-256-7713.mp4', 'indoor']
['shopping_mall-london-256-7715.mp4', 'indoor']
['shopping_mall-london-256-7716.mp4', 'indoor']
['shopping_mall-london-256-7717.mp4', 'indoor']
['shopping_mall-london-256-7718.mp4', 'indoor']
['shopping_mall-london-256-7719.mp4', 'indoor']
['shopping_mall-london-256-7720.mp4', 'indoor']
['shopping_mall-london-256-7721.mp4', 'indoor']
['shopping_mall-london-256-7722.mp4', 'indoor']
['shopping_mall-london-256-7724.mp4', 'indoor']
['shopping_mall-london-256-7726.mp4', 'indoor']
['shopping_mall-london-256-7727.mp4', 'indoor']
['shopping_mall-london-256-7728.mp4', 'indoor']
['shopping_mall-london-256-7729.mp4', 'indoor']
['shopping_mall-london-256-7730.mp4', 'indoor']
['shopping_mall-london-256-7731.mp4', 'indoor']
['shopping_mall-london-256-7732.mp4', 'indoor']
['shopping_mall-london-256-7733.mp4', 'indoor']
['shopping_mall-london-256-7734.mp4', 'indoor']
['shopping_mall-london-256-7735.mp4', 'indoor']
['shopping_mall-london-256-7736.mp4', 'indoor']
['shopping_mall-london-256-7737.mp4', 'indoor']
['shopping_mall-london-256-7738.mp4', 'indoor']
['shopping_mall-london-256-7739.mp4', 'indoor']
['shopping_mall-london-256-7742.mp4', 'indoor']
['shopping_mall-london-256-7743.mp4', 'indoor']
['shopping_mall-london-256-7745.mp4', 'indoor']
['shopping_mall-london-256-7746.mp4', 'indoor']
['shopping_mall-london-256-7749.mp4', 'indoor']
['shopping_mall-london-256-7750.mp4', 'indoor']
['shopping_mall-london-256-7751.mp4', 'indoor']
['shopping_mall-london-256-7752.mp4', 'indoor']
['shopping_mall-london-256-7753.mp4', 'indoor']
['shopping_mall-london-256-7755.mp4', 'indoor']
['shopping_mall-london-256-7756.mp4', 'indoor']
['shopping_mall-london-256-7757.mp4', 'indoor']
['shopping_mall-london-256-7758.mp4', 'indoor']
['shopping_mall-london-256-7760.mp4', 'indoor']
['shopping_mall-london-256-7761.mp4', 'indoor']
['shopping_mall-london-256-7762.mp4', 'indoor']
['shopping_mall-london-256-7763.mp4', 'indoor']
['shopping_mall-london-256-7764.mp4', 'indoor']
['shopping_mall-london-256-7766.mp4', 'indoor']
['shopping_mall-london-256-7767.mp4', 'indoor']
['shopping_mall-london-256-7769.mp4', 'indoor']
['shopping_mall-london-256-7770.mp4', 'indoor']
['shopping_mall-london-256-7771.mp4', 'indoor']
['shopping_mall-london-256-7772.mp4', 'indoor']
['shopping_mall-london-256-7773.mp4', 'indoor']
['shopping_mall-london-256-7774.mp4', 'indoor']
['shopping_mall-london-256-7776.mp4', 'indoor']
['shopping_mall-london-256-7777.mp4', 'indoor']
['shopping_mall-stockholm-258-7814.mp4', 'indoor']
['shopping_mall-stockholm-258-7815.mp4', 'indoor']
['shopping_mall-stockholm-258-7816.mp4', 'indoor']
['shopping_mall-stockholm-258-7817.mp4', 'indoor']
['shopping_mall-stockholm-258-7818.mp4', 'indoor']
['shopping_mall-stockholm-258-7819.mp4', 'indoor']
['shopping_mall-stockholm-258-7820.mp4', 'indoor']
['shopping_mall-stockholm-258-7821.mp4', 'indoor']
['shopping_mall-stockholm-258-7822.mp4', 'indoor']
['shopping_mall-stockholm-258-7823.mp4', 'indoor']
['shopping_mall-stockholm-258-7824.mp4', 'indoor']
['shopping_mall-stockholm-258-7825.mp4', 'indoor']
['shopping_mall-stockholm-258-7826.mp4', 'indoor']
['shopping_mall-stockholm-258-7827.mp4', 'indoor']
['shopping_mall-stockholm-258-7828.mp4', 'indoor']
['shopping_mall-stockholm-258-7829.mp4', 'indoor']
['shopping_mall-stockholm-258-7830.mp4', 'indoor']
['shopping_mall-stockholm-258-7831.mp4', 'indoor']
['shopping_mall-stockholm-258-7832.mp4', 'indoor']
['shopping_mall-stockholm-258-7833.mp4', 'indoor']
['shopping_mall-stockholm-258-7834.mp4', 'indoor']
['shopping_mall-stockholm-258-7835.mp4', 'indoor']
['shopping_mall-stockholm-258-7836.mp4', 'indoor']
['shopping_mall-stockholm-258-7837.mp4', 'indoor']
['shopping_mall-stockholm-258-7838.mp4', 'indoor']
['shopping_mall-stockholm-258-7839.mp4', 'indoor']
['shopping_mall-stockholm-258-7840.mp4', 'indoor']
['shopping_mall-stockholm-258-7841.mp4', 'indoor']
['shopping_mall-stockholm-258-7842.mp4', 'indoor']
['shopping_mall-stockholm-258-7843.mp4', 'indoor']
['shopping_mall-stockholm-258-7844.mp4', 'indoor']
['shopping_mall-stockholm-258-7845.mp4', 'indoor']
['shopping_mall-stockholm-258-7846.mp4', 'indoor']
['shopping_mall-stockholm-258-7847.mp4', 'indoor']
['shopping_mall-stockholm-258-7848.mp4', 'indoor']
['shopping_mall-stockholm-258-7849.mp4', 'indoor']
['shopping_mall-vienna-259-7850.mp4', 'indoor']
['shopping_mall-vienna-259-7851.mp4', 'indoor']
['shopping_mall-vienna-259-7852.mp4', 'indoor']
['shopping_mall-vienna-259-7853.mp4', 'indoor']
['shopping_mall-vienna-259-7854.mp4', 'indoor']
['shopping_mall-vienna-259-7855.mp4', 'indoor']
['shopping_mall-vienna-259-7856.mp4', 'indoor']
['shopping_mall-vienna-259-7857.mp4', 'indoor']
['shopping_mall-vienna-259-7858.mp4', 'indoor']
['shopping_mall-vienna-259-7859.mp4', 'indoor']
['shopping_mall-vienna-259-7860.mp4', 'indoor']
['shopping_mall-vienna-259-7861.mp4', 'indoor']
['shopping_mall-vienna-259-7862.mp4', 'indoor']
['shopping_mall-vienna-259-7863.mp4', 'indoor']
['shopping_mall-vienna-259-7864.mp4', 'indoor']
['shopping_mall-vienna-259-7865.mp4', 'indoor']
['shopping_mall-vienna-259-7866.mp4', 'indoor']
['shopping_mall-vienna-259-7867.mp4', 'indoor']
['shopping_mall-vienna-259-7868.mp4', 'indoor']
['shopping_mall-vienna-259-7869.mp4', 'indoor']
['shopping_mall-vienna-259-7870.mp4', 'indoor']
['shopping_mall-vienna-259-7871.mp4', 'indoor']
['shopping_mall-vienna-259-7872.mp4', 'indoor']
['shopping_mall-vienna-259-7873.mp4', 'indoor']
['shopping_mall-vienna-259-7874.mp4', 'indoor']
['shopping_mall-vienna-259-7875.mp4', 'indoor']
['shopping_mall-vienna-259-7876.mp4', 'indoor']
['shopping_mall-vienna-259-7877.mp4', 'indoor']
['shopping_mall-vienna-259-7878.mp4', 'indoor']
['shopping_mall-vienna-259-7879.mp4', 'indoor']
['shopping_mall-vienna-259-7880.mp4', 'indoor']
['shopping_mall-vienna-259-7881.mp4', 'indoor']
['shopping_mall-vienna-259-7882.mp4', 'indoor']
['shopping_mall-vienna-259-7883.mp4', 'indoor']
['shopping_mall-vienna-259-7884.mp4', 'indoor']
['shopping_mall-vienna-259-7885.mp4', 'indoor']
['park-paris-244-7294.mp4', 'outdoor']
['park-paris-244-7295.mp4', 'outdoor']
