['street_pedestrian-lyon-1162-44921.mp4', 'outdoor']
['park-helsinki-242-7207.mp4', 'outdoor']
['tram-prague-1210-45175.mp4', 'vehicle']
['street_pedestrian-prague-1227-44653.mp4', 'outdoor']
['tram-prague-1210-45156.mp4', 'vehicle']
['public_square-lisbon-1211-45444.mp4', 'outdoor']
['metro-milan-1197-45069.mp4', 'vehicle']
['airport-prague-1195-45749.mp4', 'indoor']
['bus-lisbon-1226-45100.mp4', 'vehicle']
['park-prague-1185-44690.mp4', 'outdoor']
['metro_station-lyon-1179-44375.mp4', 'indoor']
['bus-prague-1194-44136.mp4', 'vehicle']
['airport-lyon-1169-44446.mp4', 'indoor']
['metro_station-lyon-1167-44525.mp4', 'indoor']
['tram-milan-1182-45383.mp4', 'vehicle']
['metro_station-lisbon-1221-45020.mp4', 'indoor']
['tram-lisbon-1191-44817.mp4', 'vehicle']
['public_square-prague-1214-44539.mp4', 'outdoor']
['bus-milan-1190-44795.mp4', 'vehicle']
['park-prague-1185-45159.mp4', 'outdoor']
['shopping_mall-milan-1183-44634.mp4', 'indoor']
['public_square-lisbon-1211-45303.mp4', 'outdoor']
['airport-london-205-6207.mp4', 'indoor']
['street_traffic-milan-1166-44826.mp4', 'outdoor']
['bus-lisbon-1223-44483.mp4', 'vehicle']
['public_square-prague-1214-45053.mp4', 'outdoor']
['shopping_mall-milan-1183-44118.mp4', 'indoor']
['shopping_mall-lyon-1196-45385.mp4', 'indoor']
['street_traffic-prague-1193-44235.mp4', 'outdoor']
['public_square-prague-1214-44473.mp4', 'outdoor']
['airport-prague-1173-44425.mp4', 'indoor']
['park-barcelona-241-7180.mp4', 'outdoor']
['airport-milan-1172-44819.mp4', 'indoor']
['street_traffic-lisbon-1171-44853.mp4', 'outdoor']
['airport-lisbon-1175-44210.mp4', 'indoor']
['park-lisbon-1198-44636.mp4', 'outdoor']
['bus-milan-1190-44286.mp4', 'vehicle']
['bus-lyon-1186-44509.mp4', 'vehicle']
['shopping_mall-prague-1219-44298.mp4', 'indoor']
['metro-lyon-1181-44369.mp4', 'vehicle']
['street_traffic-lyon-1220-45479.mp4', 'outdoor']
['bus-lyon-1186-44140.mp4', 'vehicle']
['street_traffic-milan-1202-44626.mp4', 'outdoor']
['street_pedestrian-lisbon-1174-45664.mp4', 'outdoor']
['bus-lyon-1186-45349.mp4', 'vehicle']
['bus-lyon-1177-44264.mp4', 'vehicle']
['park-lisbon-1198-44882.mp4', 'outdoor']
['metro-lyon-1201-44858.mp4', 'vehicle']
['shopping_mall-milan-1183-44759.mp4', 'indoor']
['tram-lyon-1225-44574.mp4', 'vehicle']
['park-barcelona-241-7152.mp4', 'outdoor']
['park-lyon-1188-44670.mp4', 'outdoor']
['airport-prague-1195-44169.mp4', 'indoor']
['public_square-prague-1192-44139.mp4', 'outdoor']
['tram-lyon-1216-45408.mp4', 'vehicle']
['public_square-lisbon-1211-45324.mp4', 'outdoor']
['bus-milan-1190-45599.mp4', 'vehicle']
['airport-lisbon-1175-45300.mp4', 'indoor']
['metro-prague-1204-44537.mp4', 'vehicle']
['metro_station-lisbon-1221-45022.mp4', 'indoor']
['bus-lisbon-1223-44407.mp4', 'vehicle']
['tram-lyon-1216-45365.mp4', 'vehicle']
['park-prague-1185-44187.mp4', 'outdoor']
['shopping_mall-prague-1219-44761.mp4', 'indoor']
['public_square-lyon-1178-44752.mp4', 'outdoor']
['metro-lyon-1206-45406.mp4', 'vehicle']
['airport-lisbon-1175-44296.mp4', 'indoor']
['tram-milan-1222-44502.mp4', 'vehicle']
['public_square-milan-1168-44248.mp4', 'outdoor']
['bus-lisbon-1226-44601.mp4', 'vehicle']
['metro_station-milan-1187-45414.mp4', 'indoor']
['tram-lisbon-1191-44840.mp4', 'vehicle']
['metro_station-prague-1170-45530.mp4', 'indoor']
['tram-lyon-1216-45467.mp4', 'vehicle']
['shopping_mall-lisbon-1176-44442.mp4', 'indoor']
['tram-milan-1209-45458.mp4', 'vehicle']
['street_traffic-lisbon-1171-45501.mp4', 'outdoor']
['park-lyon-1188-44569.mp4', 'outdoor']
['metro-milan-1197-45204.mp4', 'vehicle']
['street_pedestrian-lyon-1162-44399.mp4', 'outdoor']
['airport-lisbon-1175-45351.mp4', 'indoor']
['park-lisbon-1198-44740.mp4', 'outdoor']
['tram-lisbon-1191-45009.mp4', 'vehicle']
['park-lyon-1188-45736.mp4', 'outdoor']
['metro_station-prague-1170-44316.mp4', 'indoor']
['street_traffic-lisbon-1171-45173.mp4', 'outdoor']
['bus-lisbon-1223-44695.mp4', 'vehicle']
['street_traffic-lyon-1220-44945.mp4', 'outdoor']
['airport-london-205-6192.mp4', 'indoor']
['street_pedestrian-prague-1203-45358.mp4', 'outdoor']
['shopping_mall-lisbon-1176-45140.mp4', 'indoor']
['park-milan-1164-44807.mp4', 'outdoor']
['bus-lyon-1177-45521.mp4', 'vehicle']
['street_traffic-lisbon-1171-44671.mp4', 'outdoor']
['bus-lisbon-1212-44366.mp4', 'vehicle']
['park-prague-1185-44373.mp4', 'outdoor']
['metro_station-lyon-1179-44512.mp4', 'indoor']
['park-milan-1164-44617.mp4', 'outdoor']
['metro_station-lisbon-1221-45116.mp4', 'indoor']
['street_pedestrian-lyon-1162-45701.mp4', 'outdoor']
['airport-prague-1195-45704.mp4', 'indoor']
['street_pedestrian-milan-1205-44559.mp4', 'outdoor']
['metro-prague-1213-44857.mp4', 'vehicle']
['street_pedestrian-prague-1203-45623.mp4', 'outdoor']
['metro_station-lyon-1179-44230.mp4', 'indoor']
['street_traffic-lisbon-1171-44192.mp4', 'outdoor']
['bus-prague-1215-45133.mp4', 'vehicle']
['street_pedestrian-prague-1203-45651.mp4', 'outdoor']
['tram-lyon-1216-45132.mp4', 'vehicle']
['park-helsinki-242-7195.mp4', 'outdoor']
['metro_station-prague-1170-44263.mp4', 'indoor']
['public_square-lyon-1208-45562.mp4', 'outdoor']
['airport-lyon-1169-44279.mp4', 'indoor']
['metro_station-lisbon-1221-44313.mp4', 'indoor']
['park-prague-1185-44590.mp4', 'outdoor']
['shopping_mall-milan-1183-45113.mp4', 'indoor']
['metro-milan-1197-44680.mp4', 'vehicle']
['public_square-milan-1168-44912.mp4', 'outdoor']
['tram-lisbon-1200-45650.mp4', 'vehicle']
['airport-prague-1195-45754.mp4', 'indoor']
['park-helsinki-242-7210.mp4', 'outdoor']
['airport-lisbon-1175-45451.mp4', 'indoor']
['street_pedestrian-lisbon-1174-45659.mp4', 'outdoor']
['street_traffic-milan-1202-44900.mp4', 'outdoor']
['tram-milan-1222-44334.mp4', 'vehicle']
['park-prague-1185-45595.mp4', 'outdoor']
['airport-london-205-6219.mp4', 'indoor']
['shopping_mall-milan-1183-45489.mp4', 'indoor']
['tram-milan-1222-45428.mp4', 'vehicle']
['street_traffic-milan-1166-44447.mp4', 'outdoor']
['shopping_mall-lyon-1196-45191.mp4', 'indoor']
['park-lyon-1188-44385.mp4', 'outdoor']
['tram-lyon-1225-44798.mp4', 'vehicle']
['tram-lyon-1216-45676.mp4', 'vehicle']
['park-paris-244-7273.mp4', 'outdoor']
['street_pedestrian-lisbon-1174-44779.mp4', 'outdoor']
['metro_station-prague-1170-44262.mp4', 'indoor']
['park-prague-1185-44295.mp4', 'outdoor']
['tram-lisbon-1200-45200.mp4', 'vehicle']
['park-barcelona-241-7159.mp4', 'outdoor']
['bus-lisbon-1223-45244.mp4', 'vehicle']
['public_square-prague-1214-45729.mp4', 'outdoor']
['metro-lyon-1181-44146.mp4', 'vehicle']
['park-helsinki-242-7197.mp4', 'outdoor']
['tram-prague-1210-44504.mp4', 'vehicle']
['public_square-lyon-1178-44743.mp4', 'outdoor']
['metro-milan-1197-44145.mp4', 'vehicle']
['metro-prague-1213-44806.mp4', 'vehicle']
['metro_station-lyon-1167-44831.mp4', 'indoor']
['park-helsinki-242-7220.mp4', 'outdoor']
['shopping_mall-prague-1219-45064.mp4', 'indoor']
['park-prague-1185-44287.mp4', 'outdoor']
['shopping_mall-prague-1219-44754.mp4', 'indoor']
['tram-lyon-1225-45441.mp4', 'vehicle']
['metro_station-prague-1170-45381.mp4', 'indoor']
['street_pedestrian-lyon-1162-44649.mp4', 'outdoor']
['bus-prague-1215-44662.mp4', 'vehicle']
['tram-lisbon-1191-45036.mp4', 'vehicle']
['park-lisbon-1198-44170.mp4', 'outdoor']
['metro-lyon-1201-45136.mp4', 'vehicle']
['shopping_mall-prague-1219-45582.mp4', 'indoor']
['bus-milan-1190-44132.mp4', 'vehicle']
['park-helsinki-242-7192.mp4', 'outdoor']
['tram-lyon-1225-44466.mp4', 'vehicle']
['park-paris-244-7277.mp4', 'outdoor']
['park-lyon-1188-45642.mp4', 'outdoor']
['shopping_mall-lisbon-1176-45605.mp4', 'indoor']
['public_square-lisbon-1211-44898.mp4', 'outdoor']
['shopping_mall-lisbon-1176-44529.mp4', 'indoor']
['public_square-prague-1192-44134.mp4', 'outdoor']
['tram-lisbon-1200-44884.mp4', 'vehicle']
['airport-prague-1195-44435.mp4', 'indoor']
['street_pedestrian-milan-1165-44810.mp4', 'outdoor']
['airport-prague-1195-45265.mp4', 'indoor']
['park-prague-1185-44250.mp4', 'outdoor']
['airport-london-205-6206.mp4', 'indoor']
['bus-prague-1207-44484.mp4', 'vehicle']
['shopping_mall-milan-1183-44413.mp4', 'indoor']
['bus-lisbon-1226-44871.mp4', 'vehicle']
['tram-lyon-1225-44995.mp4', 'vehicle']
['public_square-lyon-1178-44232.mp4', 'outdoor']
['metro-lisbon-1199-45154.mp4', 'vehicle']
['shopping_mall-lyon-1196-44648.mp4', 'indoor']
['metro-lyon-1181-44952.mp4', 'vehicle']
['public_square-lisbon-1211-44190.mp4', 'outdoor']
['park-lisbon-1198-44326.mp4', 'outdoor']
['metro-lyon-1181-44581.mp4', 'vehicle']
['shopping_mall-lisbon-1176-45590.mp4', 'indoor']
['street_pedestrian-milan-1165-44411.mp4', 'outdoor']
['airport-prague-1173-45201.mp4', 'indoor']
['metro-milan-1218-45073.mp4', 'vehicle']
['street_traffic-lisbon-1171-44881.mp4', 'outdoor']
['metro_station-lyon-1179-45463.mp4', 'indoor']
['street_pedestrian-prague-1203-45723.mp4', 'outdoor']
['tram-prague-1189-45529.mp4', 'vehicle']
['street_pedestrian-lyon-1162-45083.mp4', 'outdoor']
['bus-prague-1215-45332.mp4', 'vehicle']
['park-prague-1185-44749.mp4', 'outdoor']
['metro_station-lyon-1167-44611.mp4', 'indoor']
['street_pedestrian-milan-1165-45655.mp4', 'outdoor']
['airport-london-205-6217.mp4', 'indoor']
['public_square-milan-1168-45180.mp4', 'outdoor']
['airport-london-205-6222.mp4', 'indoor']
['park-barcelona-241-7175.mp4', 'outdoor']
['airport-prague-1173-45158.mp4', 'indoor']
['street_traffic-lyon-1220-44305.mp4', 'outdoor']
['bus-prague-1194-45015.mp4', 'vehicle']
['public_square-lyon-1208-45554.mp4', 'outdoor']
['tram-lyon-1216-44845.mp4', 'vehicle']
['street_traffic-lisbon-1171-44896.mp4', 'outdoor']
['shopping_mall-lisbon-1176-44404.mp4', 'indoor']
['park-london-243-7251.mp4', 'outdoor']
['metro-prague-1213-45018.mp4', 'vehicle']
['street_pedestrian-lisbon-1174-45273.mp4', 'outdoor']
['airport-lisbon-1175-44669.mp4', 'indoor']
['public_square-lyon-1208-44487.mp4', 'outdoor']
['metro_station-lyon-1167-44615.mp4', 'indoor']
['public_square-lyon-1178-44110.mp4', 'outdoor']
['shopping_mall-lyon-1196-45343.mp4', 'indoor']
['park-milan-1164-44847.mp4', 'outdoor']
['airport-milan-1172-45420.mp4', 'indoor']
['street_pedestrian-milan-1205-44767.mp4', 'outdoor']
['airport-london-205-6211.mp4', 'indoor']
['tram-lyon-1225-44771.mp4', 'vehicle']
['shopping_mall-lyon-1196-44721.mp4', 'indoor']
['tram-prague-1184-45596.mp4', 'vehicle']
['park-barcelona-241-7184.mp4', 'outdoor']
['bus-prague-1215-45607.mp4', 'vehicle']
['street_pedestrian-lisbon-1174-44105.mp4', 'outdoor']
['street_pedestrian-lyon-1162-45000.mp4', 'outdoor']
['metro_station-lisbon-1221-44710.mp4', 'indoor']
['metro-lisbon-1217-44291.mp4', 'vehicle']
['park-prague-1185-45617.mp4', 'outdoor']
['street_traffic-lyon-1220-44467.mp4', 'outdoor']
['metro_station-lyon-1179-44639.mp4', 'indoor']
['public_square-lisbon-1211-45514.mp4', 'outdoor']
['metro_station-lyon-1179-45024.mp4', 'indoor']
['street_traffic-milan-1166-44207.mp4', 'outdoor']
['airport-london-205-6183.mp4', 'indoor']
['park-helsinki-242-7193.mp4', 'outdoor']
['shopping_mall-lyon-1196-44315.mp4', 'indoor']
['tram-lyon-1225-44681.mp4', 'vehicle']
['metro_station-lyon-1179-44459.mp4', 'indoor']
['public_square-lyon-1178-44902.mp4', 'outdoor']
['bus-milan-1190-45089.mp4', 'vehicle']
['metro_station-prague-1170-45011.mp4', 'indoor']
['street_pedestrian-prague-1203-44164.mp4', 'outdoor']
['metro_station-milan-1187-44654.mp4', 'indoor']
['park-helsinki-242-7203.mp4', 'outdoor']
['airport-milan-1172-45505.mp4', 'indoor']
['bus-lisbon-1226-44607.mp4', 'vehicle']
['metro-milan-1197-44299.mp4', 'vehicle']
['street_pedestrian-lisbon-1174-44757.mp4', 'outdoor']
['park-helsinki-242-7216.mp4', 'outdoor']
['metro_station-prague-1170-44344.mp4', 'indoor']
['park-london-243-7245.mp4', 'outdoor']
['bus-lisbon-1212-44414.mp4', 'vehicle']
['street_traffic-prague-1193-45635.mp4', 'outdoor']
['metro-prague-1213-45266.mp4', 'vehicle']
['park-barcelona-241-7153.mp4', 'outdoor']
['airport-prague-1173-44397.mp4', 'indoor']
['tram-prague-1210-44191.mp4', 'vehicle']
['street_pedestrian-milan-1165-45284.mp4', 'outdoor']
['tram-milan-1182-44284.mp4', 'vehicle']
['metro_station-milan-1187-45294.mp4', 'indoor']
['street_pedestrian-milan-1165-44977.mp4', 'outdoor']
['metro_station-lisbon-1221-44774.mp4', 'indoor']
['metro-milan-1218-45075.mp4', 'vehicle']
['airport-lyon-1169-45487.mp4', 'indoor']
['tram-prague-1184-44968.mp4', 'vehicle']
['public_square-lisbon-1211-44441.mp4', 'outdoor']
['shopping_mall-lisbon-1176-45114.mp4', 'indoor']
['park-london-243-7241.mp4', 'outdoor']
['airport-lyon-1169-45560.mp4', 'indoor']
['tram-lyon-1216-44784.mp4', 'vehicle']
['metro_station-lyon-1167-44748.mp4', 'indoor']
['tram-lyon-1225-44948.mp4', 'vehicle']
['shopping_mall-lyon-1196-45674.mp4', 'indoor']
['metro-lyon-1206-44940.mp4', 'vehicle']
['airport-milan-1172-44586.mp4', 'indoor']
['tram-lisbon-1191-44252.mp4', 'vehicle']
['street_pedestrian-milan-1165-45128.mp4', 'outdoor']
['bus-lisbon-1212-45548.mp4', 'vehicle']
['bus-lyon-1186-45436.mp4', 'vehicle']
['shopping_mall-milan-1183-45087.mp4', 'indoor']
['metro-milan-1197-45145.mp4', 'vehicle']
['shopping_mall-lisbon-1176-44693.mp4', 'indoor']
['metro-milan-1218-45019.mp4', 'vehicle']
['metro_station-prague-1170-45302.mp4', 'indoor']
['public_square-prague-1192-45141.mp4', 'outdoor']
['tram-prague-1184-44141.mp4', 'vehicle']
['public_square-lisbon-1211-44820.mp4', 'outdoor']
['airport-lisbon-1175-45126.mp4', 'indoor']
['park-prague-1185-44120.mp4', 'outdoor']
['tram-prague-1184-44604.mp4', 'vehicle']
['street_pedestrian-milan-1205-45565.mp4', 'outdoor']
['tram-prague-1210-44576.mp4', 'vehicle']
['park-lisbon-1198-45155.mp4', 'outdoor']
['metro-lisbon-1217-44679.mp4', 'vehicle']
['public_square-lisbon-1211-45056.mp4', 'outdoor']
['airport-prague-1195-45096.mp4', 'indoor']
['street_traffic-milan-1166-45271.mp4', 'outdoor']
['shopping_mall-lisbon-1176-44242.mp4', 'indoor']
['street_traffic-lisbon-1171-44432.mp4', 'outdoor']
['shopping_mall-milan-1183-45516.mp4', 'indoor']
['public_square-prague-1214-44739.mp4', 'outdoor']
['metro_station-prague-1170-45098.mp4', 'indoor']
['public_square-lisbon-1211-45139.mp4', 'outdoor']
['shopping_mall-prague-1219-45209.mp4', 'indoor']
['public_square-lyon-1178-45579.mp4', 'outdoor']
['metro_station-milan-1187-44224.mp4', 'indoor']
['street_traffic-milan-1202-44160.mp4', 'outdoor']
['airport-milan-1172-45190.mp4', 'indoor']
['park-milan-1164-44541.mp4', 'outdoor']
['shopping_mall-lyon-1196-44724.mp4', 'indoor']
['street_traffic-lisbon-1171-45443.mp4', 'outdoor']
['airport-prague-1173-44592.mp4', 'indoor']
['park-london-243-7234.mp4', 'outdoor']
['airport-prague-1173-45299.mp4', 'indoor']
['park-paris-244-7264.mp4', 'outdoor']
['tram-prague-1210-45507.mp4', 'vehicle']
['metro_station-lyon-1179-44339.mp4', 'indoor']
['park-prague-1185-45741.mp4', 'outdoor']
['airport-milan-1172-45490.mp4', 'indoor']
['park-barcelona-241-7173.mp4', 'outdoor']
['airport-prague-1173-44104.mp4', 'indoor']
['tram-lisbon-1200-45219.mp4', 'vehicle']
['street_pedestrian-milan-1205-44171.mp4', 'outdoor']
['airport-milan-1172-44661.mp4', 'indoor']
['public_square-prague-1214-44415.mp4', 'outdoor']
['tram-lisbon-1200-44850.mp4', 'vehicle']
['park-prague-1185-44666.mp4', 'outdoor']
['metro-lyon-1206-44827.mp4', 'vehicle']
['street_traffic-prague-1193-45211.mp4', 'outdoor']
['metro-lyon-1181-44269.mp4', 'vehicle']
['street_pedestrian-lisbon-1174-44834.mp4', 'outdoor']
['bus-lyon-1177-45598.mp4', 'vehicle']
['street_pedestrian-prague-1203-44652.mp4', 'outdoor']
['bus-lisbon-1226-45095.mp4', 'vehicle']
['public_square-milan-1168-44859.mp4', 'outdoor']
['metro_station-prague-1170-44500.mp4', 'indoor']
['park-paris-244-7285.mp4', 'outdoor']
['shopping_mall-prague-1219-44935.mp4', 'indoor']
['metro_station-lyon-1167-44867.mp4', 'indoor']
['tram-milan-1222-44496.mp4', 'vehicle']
['street_pedestrian-lyon-1162-44378.mp4', 'outdoor']
['metro-prague-1213-44692.mp4', 'vehicle']
['street_traffic-lyon-1220-44542.mp4', 'outdoor']
['tram-prague-1184-44355.mp4', 'vehicle']
['public_square-lyon-1178-45363.mp4', 'outdoor']
['metro-lyon-1181-44116.mp4', 'vehicle']
['street_traffic-prague-1193-45604.mp4', 'outdoor']
['bus-lyon-1186-44895.mp4', 'vehicle']
['tram-lisbon-1191-45478.mp4', 'vehicle']
['park-milan-1164-44490.mp4', 'outdoor']
['tram-lisbon-1191-45169.mp4', 'vehicle']
['metro_station-milan-1187-45143.mp4', 'indoor']
['public_square-lyon-1208-44816.mp4', 'outdoor']
['bus-lyon-1186-45584.mp4', 'vehicle']
['public_square-milan-1168-45656.mp4', 'outdoor']
['bus-prague-1207-45079.mp4', 'vehicle']
['public_square-lyon-1208-44991.mp4', 'outdoor']
['tram-lisbon-1191-44557.mp4', 'vehicle']
['street_pedestrian-milan-1165-44841.mp4', 'outdoor']
['bus-milan-1180-44471.mp4', 'vehicle']
['park-lyon-1188-45151.mp4', 'outdoor']
['metro_station-lyon-1167-45555.mp4', 'indoor']
['metro_station-lyon-1167-45465.mp4', 'indoor']
['bus-lyon-1186-44933.mp4', 'vehicle']
['street_pedestrian-lisbon-1174-45124.mp4', 'outdoor']
['metro_station-milan-1187-45076.mp4', 'indoor']
['park-paris-244-7274.mp4', 'outdoor']
['airport-milan-1172-44215.mp4', 'indoor']
['public_square-prague-1192-44454.mp4', 'outdoor']
['metro_station-lyon-1179-44257.mp4', 'indoor']
['public_square-lyon-1178-45576.mp4', 'outdoor']
['airport-milan-1172-45645.mp4', 'indoor']
['street_traffic-milan-1166-44225.mp4', 'outdoor']
['tram-milan-1182-45540.mp4', 'vehicle']
['park-paris-244-7283.mp4', 'outdoor']
['metro-lyon-1206-44265.mp4', 'vehicle']
['street_traffic-milan-1202-44808.mp4', 'outdoor']
['metro_station-milan-1187-45224.mp4', 'indoor']
['street_pedestrian-milan-1205-44726.mp4', 'outdoor']
['bus-lisbon-1223-44619.mp4', 'vehicle']
['street_pedestrian-prague-1203-44796.mp4', 'outdoor']
['bus-prague-1215-44855.mp4', 'vehicle']
['street_traffic-lyon-1220-45335.mp4', 'outdoor']
['shopping_mall-lyon-1196-45197.mp4', 'indoor']
['street_pedestrian-lisbon-1174-44310.mp4', 'outdoor']
['metro-milan-1218-44775.mp4', 'vehicle']
['park-lyon-1188-44904.mp4', 'outdoor']
['metro_station-lisbon-1221-45207.mp4', 'indoor']
['park-milan-1164-44932.mp4', 'outdoor']
['metro_station-lisbon-1221-45341.mp4', 'indoor']
['street_pedestrian-milan-1165-44114.mp4', 'outdoor']
['shopping_mall-lyon-1196-45566.mp4', 'indoor']
['bus-prague-1194-45060.mp4', 'vehicle']
['airport-prague-1173-45722.mp4', 'indoor']
['street_traffic-lyon-1220-45512.mp4', 'outdoor']
['airport-lyon-1169-44433.mp4', 'indoor']
['street_pedestrian-milan-1165-44660.mp4', 'outdoor']
['tram-lyon-1225-44849.mp4', 'vehicle']
['park-helsinki-242-7188.mp4', 'outdoor']
['airport-milan-1172-44762.mp4', 'indoor']
['shopping_mall-lyon-1196-45471.mp4', 'indoor']
['park-barcelona-241-7157.mp4', 'outdoor']
['airport-lyon-1169-45396.mp4', 'indoor']
['park-prague-1185-44522.mp4', 'outdoor']
['bus-milan-1180-45238.mp4', 'vehicle']
['park-paris-244-7276.mp4', 'outdoor']
['metro-prague-1213-45130.mp4', 'vehicle']
['metro_station-lyon-1167-45751.mp4', 'indoor']
['metro_station-lisbon-1221-44835.mp4', 'indoor']
['park-paris-244-7280.mp4', 'outdoor']
['airport-london-205-6191.mp4', 'indoor']
['public_square-prague-1192-44998.mp4', 'outdoor']
['street_traffic-lyon-1220-45233.mp4', 'outdoor']
['metro_station-prague-1170-44911.mp4', 'indoor']
['street_pedestrian-prague-1203-45187.mp4', 'outdoor']
['metro_station-prague-1170-44852.mp4', 'indoor']
['park-london-243-7244.mp4', 'outdoor']
['bus-lyon-1186-44336.mp4', 'vehicle']
['tram-milan-1222-44359.mp4', 'vehicle']
['shopping_mall-lisbon-1176-44623.mp4', 'indoor']
['bus-lyon-1177-45528.mp4', 'vehicle']
['street_traffic-milan-1166-44360.mp4', 'outdoor']
['tram-lyon-1216-45269.mp4', 'vehicle']
['airport-milan-1172-45409.mp4', 'indoor']
['bus-prague-1194-44582.mp4', 'vehicle']
['park-lyon-1188-44908.mp4', 'outdoor']
['metro-milan-1218-44863.mp4', 'vehicle']
['park-helsinki-242-7196.mp4', 'outdoor']
['metro-prague-1163-45310.mp4', 'vehicle']
['metro_station-lyon-1167-45161.mp4', 'indoor']
['metro-prague-1204-44240.mp4', 'vehicle']
['metro_station-lyon-1167-44113.mp4', 'indoor']
