['street_traffic-prague-1193-44261.mp4', 'street_traffic']
['public_square-prague-1214-45077.mp4', 'public_square']
['tram-lyon-1216-45387.mp4', 'tram']
['street_pedestrian-milan-1165-45497.mp4', 'street_pedestrian']
['metro_station-prague-1170-44555.mp4', 'metro_station']
['public_square-lisbon-1211-44389.mp4', 'public_square']
['street_traffic-lisbon-1171-44853.mp4', 'street_traffic']
['metro-lisbon-1199-45634.mp4', 'metro']
['public_square-lisbon-1211-44785.mp4', 'public_square']
['street_traffic-barcelona-268-8146.mp4', 'street_traffic']
['park-lyon-1188-44823.mp4', 'park']
['street_pedestrian-milan-1165-45397.mp4', 'street_pedestrian']
['public_square-lisbon-1211-45717.mp4', 'public_square']
['tram-lisbon-1200-45298.mp4', 'tram']
['metro_station-milan-1187-45304.mp4', 'metro_station']
['bus-milan-1190-44286.mp4', 'bus']
['shopping_mall-lyon-1196-45471.mp4', 'shopping_mall']
['bus-milan-1180-44396.mp4', 'bus']
['tram-prague-1210-45156.mp4', 'tram']
['metro_station-prague-1170-45481.mp4', 'metro_station']
['street_traffic-barcelona-268-8141.mp4', 'street_traffic']
['park-prague-1185-44905.mp4', 'park']
['airport-prague-1195-45096.mp4', 'airport']
['bus-lyon-1177-44565.mp4', 'bus']
['shopping_mall-milan-1183-44155.mp4', 'shopping_mall']
['airport-milan-1172-45119.mp4', 'airport']
['metro_station-milan-1187-45600.mp4', 'metro_station']
['public_square-milan-1168-44727.mp4', 'public_square']
['tram-lisbon-1191-44241.mp4', 'tram']
['public_square-prague-1192-44919.mp4', 'public_square']
['metro_station-prague-1170-44219.mp4', 'metro_station']
['metro-prague-1163-45157.mp4', 'metro']
['shopping_mall-milan-1183-45088.mp4', 'shopping_mall']
['street_pedestrian-lyon-1162-45480.mp4', 'street_pedestrian']
['metro_station-lisbon-1221-45759.mp4', 'metro_station']
['shopping_mall-prague-1219-45370.mp4', 'shopping_mall']
['bus-prague-1207-44484.mp4', 'bus']
['park-helsinki-242-7185.mp4', 'park']
['street_traffic-milan-1166-44493.mp4', 'street_traffic']
['metro-lyon-1181-44269.mp4', 'metro']
['airport-lisbon-1175-44700.mp4', 'airport']
['shopping_mall-lisbon-1176-44442.mp4', 'shopping_mall']
['street_pedestrian-lisbon-1174-44367.mp4', 'street_pedestrian']
['metro_station-lyon-1179-44439.mp4', 'metro_station']
['street_pedestrian-barcelona-260-7886.mp4', 'street_pedestrian']
['shopping_mall-lyon-1196-44578.mp4', 'shopping_mall']
['metro-prague-1163-44202.mp4', 'metro']
['park-barcelona-241-7177.mp4', 'park']
['shopping_mall-prague-1219-44673.mp4', 'shopping_mall']
['street_pedestrian-milan-1205-44698.mp4', 'street_pedestrian']
['street_traffic-prague-1193-45432.mp4', 'street_traffic']
['park-lyon-1188-45642.mp4', 'park']
['street_pedestrian-milan-1205-44559.mp4', 'street_pedestrian']
['public_square-lisbon-1211-44247.mp4', 'public_square']
['street_pedestrian-milan-1205-44443.mp4', 'street_pedestrian']
['bus-lisbon-1226-44871.mp4', 'bus']
['shopping_mall-lyon-1196-45412.mp4', 'shopping_mall']
['airport-prague-1195-44169.mp4', 'airport']
['bus-milan-1190-44448.mp4', 'bus']
['street_pedestrian-milan-1165-44450.mp4', 'street_pedestrian']
['bus-lyon-1186-44936.mp4', 'bus']
['bus-milan-1180-45238.mp4', 'bus']
['park-prague-1185-45614.mp4', 'park']
['street_pedestrian-lisbon-1174-45734.mp4', 'street_pedestrian']
['airport-lisbon-1175-44864.mp4', 'airport']
['street_pedestrian-lyon-1162-44579.mp4', 'street_pedestrian']
['park-barcelona-241-7149.mp4', 'park']
['bus-lisbon-1226-44601.mp4', 'bus']
['public_square-barcelona-248-7405.mp4', 'public_square']
['metro-milan-1197-44231.mp4', 'metro']
['public_square-barcelona-248-7403.mp4', 'public_square']
['street_traffic-barcelona-268-8136.mp4', 'street_traffic']
['street_pedestrian-lyon-1162-45561.mp4', 'street_pedestrian']
['bus-prague-1215-44476.mp4', 'bus']
['airport-prague-1195-44928.mp4', 'airport']
['park-milan-1164-44765.mp4', 'park']
['street_traffic-barcelona-268-8163.mp4', 'street_traffic']
['park-lisbon-1198-44290.mp4', 'park']
['street_traffic-lisbon-1171-44729.mp4', 'street_traffic']
['park-milan-1164-44095.mp4', 'park']
['public_square-prague-1192-45141.mp4', 'public_square']
['street_pedestrian-lisbon-1174-44665.mp4', 'street_pedestrian']
['park-milan-1164-44490.mp4', 'park']
['street_pedestrian-barcelona-260-7888.mp4', 'street_pedestrian']
['bus-lisbon-1226-45078.mp4', 'bus']
['public_square-barcelona-248-7391.mp4', 'public_square']
['metro-milan-1218-44353.mp4', 'metro']
['street_traffic-prague-1193-45195.mp4', 'street_traffic']
['public_square-prague-1214-45700.mp4', 'public_square']
['street_traffic-barcelona-268-8166.mp4', 'street_traffic']
['shopping_mall-lisbon-1176-44242.mp4', 'shopping_mall']
['shopping_mall-lisbon-1176-44358.mp4', 'shopping_mall']
['metro_station-prague-1170-45302.mp4', 'metro_station']
['shopping_mall-milan-1183-44153.mp4', 'shopping_mall']
['bus-lyon-1177-44268.mp4', 'bus']
['bus-milan-1180-44625.mp4', 'bus']
['airport-milan-1172-44762.mp4', 'airport']
['street_traffic-milan-1202-45192.mp4', 'street_traffic']
['metro-lyon-1201-44507.mp4', 'metro']
['shopping_mall-lisbon-1176-45547.mp4', 'shopping_mall']
['park-prague-1185-44137.mp4', 'park']
['shopping_mall-prague-1219-44285.mp4', 'shopping_mall']
['public_square-lyon-1178-45541.mp4', 'public_square']
['street_traffic-lyon-1220-44647.mp4', 'street_traffic']
['metro_station-lisbon-1221-44551.mp4', 'metro_station']
['street_traffic-milan-1166-44447.mp4', 'street_traffic']
['street_pedestrian-prague-1203-45669.mp4', 'street_pedestrian']
['public_square-lyon-1208-44991.mp4', 'public_square']
['airport-prague-1173-44592.mp4', 'airport']
['metro-lyon-1201-45581.mp4', 'metro']
['metro_station-prague-1170-45721.mp4', 'metro_station']
['metro-lisbon-1217-45279.mp4', 'metro']
['tram-lyon-1216-45408.mp4', 'tram']
['street_traffic-lyon-1220-44542.mp4', 'street_traffic']
['metro-lyon-1181-44581.mp4', 'metro']
['shopping_mall-barcelona-254-7626.mp4', 'shopping_mall']
['bus-milan-1190-45599.mp4', 'bus']
['shopping_mall-milan-1183-44469.mp4', 'shopping_mall']
['street_traffic-milan-1166-44697.mp4', 'street_traffic']
['shopping_mall-lisbon-1176-44529.mp4', 'shopping_mall']
['park-helsinki-242-7197.mp4', 'park']
['public_square-milan-1168-45326.mp4', 'public_square']
['street_pedestrian-prague-1227-44653.mp4', 'street_pedestrian']
['metro_station-barcelona-229-6904.mp4', 'metro_station']
['shopping_mall-prague-1219-45731.mp4', 'shopping_mall']
['bus-prague-1215-44662.mp4', 'bus']
['airport-prague-1195-44218.mp4', 'airport']
['bus-lisbon-1226-45632.mp4', 'bus']
['street_pedestrian-lyon-1162-44599.mp4', 'street_pedestrian']
['metro-milan-1218-44325.mp4', 'metro']
['shopping_mall-barcelona-254-7614.mp4', 'shopping_mall']
['tram-milan-1209-44337.mp4', 'tram']
['shopping_mall-lyon-1196-44842.mp4', 'shopping_mall']
['metro-lisbon-1224-44568.mp4', 'metro']
['tram-prague-1210-44576.mp4', 'tram']
['street_traffic-lyon-1220-45512.mp4', 'street_traffic']
['metro_station-lyon-1167-45706.mp4', 'metro_station']
['metro-milan-1218-45073.mp4', 'metro']
['public_square-milan-1168-44248.mp4', 'public_square']
['bus-lyon-1186-44482.mp4', 'bus']
['metro_station-prague-1170-44909.mp4', 'metro_station']
['tram-prague-1184-45368.mp4', 'tram']
['metro-lyon-1201-45591.mp4', 'metro']
['shopping_mall-milan-1183-45489.mp4', 'shopping_mall']
['metro-milan-1197-45646.mp4', 'metro']
['tram-lyon-1216-44380.mp4', 'tram']
['bus-lyon-1186-44895.mp4', 'bus']
['park-lisbon-1198-44924.mp4', 'park']
['street_pedestrian-lyon-1162-45701.mp4', 'street_pedestrian']
['park-lyon-1188-45492.mp4', 'park']
['public_square-barcelona-248-7397.mp4', 'public_square']
['metro-prague-1213-45018.mp4', 'metro']
['street_pedestrian-barcelona-260-7895.mp4', 'street_pedestrian']
['park-barcelona-241-7172.mp4', 'park']
['metro_station-lyon-1167-45161.mp4', 'metro_station']
['public_square-lyon-1208-44856.mp4', 'public_square']
['metro-lyon-1206-44265.mp4', 'metro']
['metro_station-prague-1170-44344.mp4', 'metro_station']
['street_pedestrian-milan-1165-44810.mp4', 'street_pedestrian']
['metro-prague-1213-45130.mp4', 'metro']
['shopping_mall-milan-1183-44760.mp4', 'shopping_mall']
['metro-lyon-1201-45725.mp4', 'metro']
['street_pedestrian-prague-1203-45186.mp4', 'street_pedestrian']
['metro-prague-1163-45008.mp4', 'metro']
['public_square-milan-1168-44534.mp4', 'public_square']
['metro_station-lyon-1167-45316.mp4', 'metro_station']
['street_traffic-milan-1166-45271.mp4', 'street_traffic']
['tram-lyon-1216-45393.mp4', 'tram']
['street_pedestrian-prague-1203-45239.mp4', 'street_pedestrian']
['tram-lyon-1216-45365.mp4', 'tram']
['street_pedestrian-milan-1205-45556.mp4', 'street_pedestrian']
['public_square-lyon-1208-44923.mp4', 'public_square']
['tram-lisbon-1200-45502.mp4', 'tram']
['airport-lyon-1169-44570.mp4', 'airport']
['tram-lyon-1216-44784.mp4', 'tram']
['airport-prague-1173-44397.mp4', 'airport']
['street_pedestrian-barcelona-260-7900.mp4', 'street_pedestrian']
['bus-prague-1194-45015.mp4', 'bus']
['park-helsinki-242-7193.mp4', 'park']
['park-helsinki-242-7194.mp4', 'park']
['metro-milan-1197-45256.mp4', 'metro']
['street_traffic-prague-1193-45714.mp4', 'street_traffic']
['bus-lyon-1177-45193.mp4', 'bus']
['street_traffic-milan-1202-45171.mp4', 'street_traffic']
['airport-prague-1173-44425.mp4', 'airport']
['shopping_mall-milan-1183-45516.mp4', 'shopping_mall']
['public_square-milan-1168-44989.mp4', 'public_square']
['street_traffic-milan-1202-45286.mp4', 'street_traffic']
['bus-prague-1215-44640.mp4', 'bus']
['street_traffic-helsinki-269-8177.mp4', 'street_traffic']
['bus-milan-1190-45491.mp4', 'bus']
['street_traffic-lyon-1220-44939.mp4', 'street_traffic']
['public_square-lisbon-1211-45618.mp4', 'public_square']
['street_traffic-lisbon-1171-44278.mp4', 'street_traffic']
['bus-milan-1180-45267.mp4', 'bus']
['airport-milan-1172-44624.mp4', 'airport']
['metro-prague-1213-45643.mp4', 'metro']
['metro-prague-1213-44217.mp4', 'metro']
['tram-lisbon-1200-45200.mp4', 'tram']
['metro_station-milan-1187-44239.mp4', 'metro_station']
['park-barcelona-241-7184.mp4', 'park']
['tram-prague-1189-44125.mp4', 'tram']
['bus-prague-1207-44964.mp4', 'bus']
['park-lisbon-1198-44147.mp4', 'park']
['airport-lyon-1169-44486.mp4', 'airport']
['metro-milan-1197-44514.mp4', 'metro']
['street_traffic-lyon-1220-44294.mp4', 'street_traffic']
['park-lyon-1188-44300.mp4', 'park']
['shopping_mall-lyon-1196-45693.mp4', 'shopping_mall']
['shopping_mall-lyon-1196-44307.mp4', 'shopping_mall']
['park-lisbon-1198-45178.mp4', 'park']
['bus-milan-1190-44583.mp4', 'bus']
['street_traffic-helsinki-269-8174.mp4', 'street_traffic']
['street_traffic-barcelona-268-8153.mp4', 'street_traffic']
['street_pedestrian-milan-1205-45172.mp4', 'street_pedestrian']
['park-lyon-1188-44329.mp4', 'park']
['street_traffic-lisbon-1171-45392.mp4', 'street_traffic']
['street_pedestrian-barcelona-260-7896.mp4', 'street_pedestrian']
['metro_station-lyon-1167-44611.mp4', 'metro_station']
['metro_station-lisbon-1221-45307.mp4', 'metro_station']
['public_square-prague-1214-44473.mp4', 'public_square']
['metro-lyon-1206-44343.mp4', 'metro']
['street_traffic-barcelona-268-8151.mp4', 'street_traffic']
['tram-prague-1210-44319.mp4', 'tram']
['street_traffic-lyon-1220-44974.mp4', 'street_traffic']
['tram-lyon-1225-44995.mp4', 'tram']
['shopping_mall-milan-1183-44226.mp4', 'shopping_mall']
['tram-lyon-1216-44845.mp4', 'tram']
['metro-prague-1213-44961.mp4', 'metro']
['metro_station-barcelona-229-6901.mp4', 'metro_station']
['street_traffic-lisbon-1171-45290.mp4', 'street_traffic']
['public_square-prague-1214-45532.mp4', 'public_square']
['metro-lyon-1181-44564.mp4', 'metro']
['airport-prague-1173-44309.mp4', 'airport']
['tram-milan-1182-44284.mp4', 'tram']
['airport-milan-1172-45409.mp4', 'airport']
['street_pedestrian-milan-1205-44377.mp4', 'street_pedestrian']
['public_square-lyon-1208-44889.mp4', 'public_square']
['bus-lisbon-1212-44271.mp4', 'bus']
['metro-milan-1218-45019.mp4', 'metro']
['shopping_mall-lisbon-1176-45551.mp4', 'shopping_mall']
['tram-lyon-1225-45441.mp4', 'tram']
['street_pedestrian-lisbon-1174-45659.mp4', 'street_pedestrian']
['street_traffic-lisbon-1171-45218.mp4', 'street_traffic']
['bus-milan-1190-44701.mp4', 'bus']
['street_traffic-prague-1193-45606.mp4', 'street_traffic']
['metro_station-prague-1170-44500.mp4', 'metro_station']
['metro-lyon-1181-44952.mp4', 'metro']
['airport-prague-1195-44149.mp4', 'airport']
['airport-milan-1172-44126.mp4', 'airport']
['shopping_mall-lyon-1196-45423.mp4', 'shopping_mall']
['metro-lyon-1201-44668.mp4', 'metro']
['street_traffic-milan-1202-44780.mp4', 'street_traffic']
['metro_station-lisbon-1221-44416.mp4', 'metro_station']
['tram-prague-1189-45437.mp4', 'tram']
['street_traffic-milan-1202-45183.mp4', 'street_traffic']
['bus-prague-1207-44572.mp4', 'bus']
['street_traffic-milan-1202-44900.mp4', 'street_traffic']
['metro_station-milan-1187-45143.mp4', 'metro_station']
['street_traffic-helsinki-269-8170.mp4', 'street_traffic']
['public_square-milan-1168-45675.mp4', 'public_square']
['bus-lyon-1177-44129.mp4', 'bus']
['metro-prague-1204-45499.mp4', 'metro']
['bus-lisbon-1226-45095.mp4', 'bus']
['street_traffic-lyon-1220-44479.mp4', 'street_traffic']
